feature,gain
has_cuenta,399.15643310546875
header_strong_kw,281.0345764160156
cuenta_count,272.4503479003906
has_id_documento,263.9312438964844
indent_level,227.21893310546875
is_separator,215.84982299804688
has_ejercicio,199.837646484375
has_moneda,190.443359375
is_empty,183.16683959960938
length,153.15232849121094
indent,132.32994079589844
has_asiento,98.99674224853516
has_numero_linea,83.49259185791016
letter_ratio,55.935874938964844
meta_kw,44.15719985961914
prev_has_importes,35.768821716308594
importe_count,29.86417007446289
upper_ratio,24.714025497436523
same_indent,23.597915649414062
digit_ratio,20.813739776611328
next_is_separator,19.849224090576172
column_gaps,19.047466278076172
indent_decrease,14.750727653503418
is_indented,11.468486785888672
next_indent_increase,8.443082809448242
has_columns,7.991716384887695
has_fecha,6.01839017868042
relative_position,5.718076705932617
header_weak_kw,5.539144039154053
prev_is_separator,5.051140308380127
is_detail_pattern,4.290313720703125
is_header_candidate,3.5163087844848633
total_kw,3.298923969268799
space_ratio,2.368999719619751
next_has_importes,1.6322154998779297
next_is_empty,1.4304656982421875
in_data_block,1.228657603263855
has_debe_haber,1.1040496826171875
